model_id,model_label,revision,step,tokens_seen,lang,subject,layer,best_alpha,parcel,n_voxels_left,n_voxels_right,mean_pearson_left,mean_pearson_right,lateralization_index,lateralization_pvalue,mean_pearson,model_dir,n_params,n_params_b,log10_n_params,encoding,best_step,best_layer
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Heschl's Gyrus (includes H1 and H2),47,42,0.3847371276542077,0.3562488239985229,0.0284883036556848,0.0040589882806278,0.3712932090751206,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.3704929758263653,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Planum Temporale,74,65,0.3847984549835951,0.3585078006624216,0.0262906543211735,0.0003334116042791,0.3725042641139817,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.37165312782300836,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Supracalcarine Cortex,0,0,,,,,,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Occipital Pole,0,0,,,,,,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,,143000,11
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Frontal Pole,362,372,0.4401896682896861,0.4050521362012487,0.0351375320884373,2.6522806647384157e-18,0.4223815457598514,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.4226209022454674,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Insular Cortex,43,50,0.3829639480925109,0.3850236725452255,-0.0020597244527145,0.790925475783997,0.3840713268305296,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.3839938103188682,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Superior Frontal Gyrus,291,216,0.4759577929084305,0.4374130584896884,0.0385447344187421,1.1118143326565585e-13,0.4595363675939368,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.45668542569905946,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Middle Frontal Gyrus,290,263,0.4535976971443395,0.4165353343065888,0.0370623628377507,1.0434671709899717e-13,0.4359712931184292,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.4350665157254642,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Inferior Frontal Gyrus, pars triangularis",110,79,0.5091144292047727,0.4799253481529882,0.0291890810517844,0.0001567918991846,0.4969137022042914,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.4945198886788804,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Inferior Frontal Gyrus, pars opercularis",91,79,0.4765834243062999,0.4406818101384281,0.0359016141678718,3.8865848666831575e-08,0.4598997330165242,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.45863261722236404,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Precentral Gyrus,36,41,0.4505263634780731,0.4602596334792996,-0.0097332700012264,0.4952788017619079,0.4557090137384663,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.45539299847868636,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Temporal Pole,103,94,0.4417198824996259,0.462578707646002,-0.0208588251463761,0.0109208389798123,0.451672824447643,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.452149295072814,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Superior Temporal Gyrus, anterior division",45,38,0.4146792470694362,0.4130178090908534,0.0016614379785828,0.8622662290022728,0.4139185887177959,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.41384852808014483,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Superior Temporal Gyrus, posterior division",105,105,0.4543985899394538,0.4591824775657788,-0.0047838876263249,0.5156998349105787,0.4567905337526163,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.4567905337526163,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Middle Temporal Gyrus, anterior division",45,32,0.4386030783855792,0.4351071334855453,0.0034959449000339,0.7089765686911349,0.4371502181673831,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.43685510593556226,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Middle Temporal Gyrus, posterior division",62,69,0.4679261906056253,0.4743344710106209,-0.0064082804049956,0.5171582930530438,0.4713015444067298,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.47113033080812305,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Middle Temporal Gyrus, temporooccipital part",82,95,0.4970563241639602,0.4821603538413639,0.0148959703225962,0.0638007626851366,0.4890613118439226,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.48960833900266204,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Inferior Temporal Gyrus, anterior division",10,14,0.4522199927544923,0.4839621979321211,-0.0317422051776287,0.0520525497669262,0.4707362791081091,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.46809109534330673,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Inferior Temporal Gyrus, posterior division",3,0,0.5045919297937318,,,,,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.5045919297937318,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Inferior Temporal Gyrus, temporooccipital part",45,6,0.4908524089955672,0.4211930069875436,0.0696594020080236,0.0148630679791898,0.4826571852299173,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.4560227079915554,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Postcentral Gyrus,9,0,0.3941408612041072,,,,,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.3941408612041072,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Superior Parietal Lobule,33,10,0.441246317797116,0.3923219024229992,0.0489244153741168,0.0040693143906228,0.4298685467798795,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.41678411011005756,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Supramarginal Gyrus, anterior division",44,9,0.4283627916463582,0.362209492860275,0.0661532987860831,3.334008712890924e-06,0.417129212607212,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.3952861422533166,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Supramarginal Gyrus, posterior division",155,145,0.4571422655471294,0.4966519412039227,-0.0395096756567933,1.5446276484144793e-08,0.4762386087812462,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.47689710337552604,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Angular Gyrus,140,189,0.4602524883858124,0.4451626549999247,0.0150898333858877,0.0075871383396054,0.4515838606960471,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.45270757169286857,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Lateral Occipital Cortex, superior division",212,191,0.4816617967788603,0.4576148154775256,0.0240469813013346,0.0001839381260447,0.4702648403804609,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.4696383061281929,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Lateral Occipital Cortex, inferior division",17,11,0.3993710835226562,0.3890374784815835,0.0103336050410726,0.3869151412615162,0.3953114529708062,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.39420428100211985,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Intracalcarine Cortex,0,0,,,,,,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Frontal Medial Cortex,13,23,0.3853148030588784,0.4209724937190366,-0.0356576906601581,0.0001207836638871,0.4080961054250906,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.4031436483889575,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Juxtapositional Lobule Cortex ),7,5,0.4408161980815602,0.4727382594992638,-0.0319220614177036,0.0573690334753782,0.4541170570056033,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.456777228790412,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Subcallosal Cortex,0,0,,,,,,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,Paracingulate Gyrus,61,90,0.384889506246417,0.3844858789133803,0.0004036273330367,0.953797422922647,0.3846489336638123,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.38468769257989865,143000,16
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,average_en_precomputed,16,46415.89,"Cingulate Gyrus, anterior division",41,44,0.3690759697439538,0.4081705476966041,-0.0390945779526503,0.0001333189865577,0.3893131630370905,EleutherAI_pythia-12b-deduped,12000000000.0,12.0,10.079181246047625,0.3886232587202789,143000,16
